Date,Open,High,Low,Close,Adj Close,Volume
2013-06-10,591.099976,594.000000,591.099976,592.700012,510.626740,824294
2013-06-11,592.200012,594.750000,592.000000,593.500000,511.315826,1117140
2013-06-12,594.799988,594.799988,593.099976,593.650024,511.445190,733188
2013-06-13,594.000000,595.000000,592.049988,594.700012,512.349792,1071002
2013-06-14,595.000000,595.000000,592.650024,593.599976,511.401947,1029944
2013-06-17,594.150024,597.349976,593.650024,595.900024,513.383606,787063
2013-06-18,595.700012,598.049988,593.349976,595.650024,513.168213,1831701
2013-06-19,595.000000,595.000000,593.500000,594.750000,512.392822,2962206
2013-06-20,594.549988,595.000000,592.549988,593.299988,511.143494,2592060
2013-06-21,593.500000,594.349976,589.049988,590.650024,508.860626,6623347
2013-06-24,590.049988,591.750000,581.549988,583.950012,503.088379,8830754
2013-06-25,581.099976,588.900024,581.099976,587.750000,506.362091,4177811
2013-06-26,586.400024,589.500000,585.099976,588.349976,506.879028,4619598
2013-06-27,588.599976,590.599976,587.000000,588.950012,507.396088,15851546
2013-06-28,589.450012,589.450012,584.000000,585.150024,504.122284,9787702
2013-07-01,584.299988,588.500000,583.200012,587.400024,506.060608,7069503
2013-07-02,586.500000,591.099976,585.099976,587.849976,506.448303,3265981
2013-07-03,585.000000,596.500000,582.599976,587.849976,506.448303,2285572
2013-07-04,586.549988,605.400024,583.400024,601.400024,518.121948,4840129
2013-07-05,624.000000,632.000000,605.099976,609.349976,524.971130,4817710
2013-07-08,608.000000,612.799988,599.000000,609.700012,525.272766,1783428
2013-07-09,610.450012,611.849976,604.000000,604.950012,521.180359,1082343
2013-07-10,601.450012,602.650024,591.150024,594.950012,517.699768,2245187
2013-07-11,597.900024,603.000000,593.750000,601.049988,523.007629,1530058
2013-07-12,601.000000,603.000000,590.450012,601.599976,523.486328,1379218
2013-07-15,600.000000,618.000000,598.750000,614.200012,534.450256,2644608
2013-07-16,612.700012,628.900024,606.000000,623.099976,542.194580,2228512
2013-07-17,623.049988,699.349976,618.650024,685.049988,596.100891,18748031
2013-07-18,685.799988,719.099976,669.400024,688.049988,598.711304,10021074
2013-07-19,694.700012,708.799988,678.299988,686.099976,597.014465,8816903
2013-07-22,684.700012,701.000000,680.400024,697.150024,606.629700,1801410
2013-07-23,700.000000,722.000000,696.849976,718.799988,625.468628,3299142
2013-07-24,718.000000,725.000000,705.250000,709.450012,617.332764,3485015
2013-07-25,706.000000,713.900024,675.099976,687.950012,598.624329,5550291
2013-07-26,679.500000,681.150024,648.400024,663.700012,577.523010,8739293
2013-07-29,660.099976,660.950012,625.099976,638.549988,555.638550,4161171
2013-07-30,633.000000,635.400024,622.599976,627.000000,545.588379,1857276
2013-07-31,621.250000,625.049988,605.250000,612.549988,533.014526,4105005
2013-08-01,609.099976,641.400024,608.349976,635.200012,552.723572,2143419
2013-08-02,638.000000,640.200012,608.349976,615.950012,535.973022,2783404
2013-08-05,620.000000,627.849976,615.150024,618.799988,538.453003,1410809
2013-08-06,618.000000,625.150024,605.450012,608.349976,529.359863,1203007
2013-08-07,606.549988,611.950012,595.950012,603.200012,524.878601,2424701
2013-08-08,603.150024,607.099976,596.099976,600.000000,522.094116,1718456
2013-08-12,600.000000,620.299988,600.000000,615.650024,535.711975,1366927
2013-08-13,611.000000,624.900024,606.400024,621.599976,540.889404,881909
2013-08-14,619.000000,621.950012,612.299988,616.599976,536.538696,946392
2013-08-16,615.349976,618.000000,595.000000,599.000000,521.223877,3009323
2013-08-19,597.000000,602.500000,583.349976,589.299988,512.783386,1650465
2013-08-20,585.000000,598.000000,579.349976,590.599976,513.914490,2575130
2013-08-21,595.000000,606.849976,583.250000,589.400024,512.870605,2540740
2013-08-22,587.000000,599.349976,578.950012,592.650024,515.698303,1814279
2013-08-23,597.500000,604.349976,587.099976,601.349976,523.268860,2360748
2013-08-26,606.000000,616.500000,600.099976,608.500000,529.490417,1064662
2013-08-27,605.000000,606.000000,586.099976,595.549988,518.221985,2297372
2013-08-28,589.000000,602.700012,579.549988,594.549988,517.351685,2582899
2013-08-29,594.000000,611.349976,587.700012,607.000000,528.185120,2485894
2013-08-30,602.000000,638.750000,600.299988,631.450012,549.460632,2478561
2013-09-02,632.000000,647.400024,632.000000,641.299988,558.031555,1133123
2013-09-03,641.000000,644.000000,608.099976,613.349976,533.710754,1157960
2013-09-04,611.000000,624.700012,604.000000,616.500000,536.451721,959682
2013-09-05,618.950012,631.700012,616.200012,628.000000,546.458496,725423
2013-09-06,629.700012,635.299988,610.000000,617.599976,537.408752,1284157
2013-09-10,623.000000,659.400024,623.000000,653.500000,568.647400,2086680
2013-09-11,648.250000,652.500000,635.150024,643.599976,560.032776,1180964
2013-09-12,642.000000,644.950012,623.250000,626.299988,544.979126,1123281
2013-09-13,629.700012,634.950012,620.000000,621.750000,541.019958,763618
2013-09-16,628.049988,638.099976,613.250000,620.099976,539.584167,974416
2013-09-17,619.000000,631.000000,615.000000,628.650024,547.023926,737567
2013-09-18,626.099976,644.799988,624.500000,642.200012,558.814697,927405
2013-09-19,654.000000,685.000000,650.950012,677.599976,589.618164,2061482
2013-09-20,674.900024,677.599976,639.500000,651.049988,566.515625,1951942
2013-09-23,644.500000,664.750000,634.000000,642.599976,559.162537,1045119
2013-09-24,642.000000,656.200012,636.250000,643.099976,559.597717,1425200
2013-09-25,642.000000,649.700012,622.650024,633.599976,551.331238,1684929
2013-09-26,636.000000,636.049988,621.150024,628.900024,547.241577,2064365
2013-09-27,632.000000,632.000000,616.250000,621.000000,540.367310,1214348
2013-09-30,621.000000,631.849976,619.000000,627.450012,545.979919,1205277
2013-10-01,630.000000,631.000000,606.950012,619.200012,538.800903,1766671
2013-10-03,620.000000,620.000000,603.250000,609.650024,530.490967,4104263
2013-10-04,611.000000,613.849976,600.000000,606.750000,527.967590,3274613
2013-10-07,606.849976,614.549988,606.000000,611.099976,531.752686,1100167
2013-10-08,612.900024,614.799988,606.250000,609.650024,530.490967,1201322
2013-10-09,605.349976,611.500000,605.349976,610.200012,530.969727,1564012
2013-10-10,611.000000,614.950012,598.299988,601.349976,523.268860,1280329
2013-10-11,600.000000,605.700012,596.299988,603.900024,525.487671,784119
2013-10-14,605.000000,609.299988,595.000000,596.400024,518.961487,1010949
2013-10-15,597.000000,604.750000,592.250000,602.700012,524.443359,1026466
2013-10-17,606.400024,617.299988,602.200012,605.000000,526.444763,2169271
2013-10-18,609.849976,610.000000,602.599976,606.099976,527.402039,1538435
2013-10-21,606.000000,610.500000,605.049988,609.000000,529.925415,598633
2013-10-22,605.000000,613.900024,605.000000,608.950012,529.881958,901297
2013-10-23,606.250000,643.900024,599.200012,614.650024,534.841919,5484307
2013-10-24,615.000000,621.400024,607.000000,609.500000,530.360596,1471598
2013-10-25,605.000000,607.700012,592.000000,593.950012,516.829651,1885723
2013-10-28,604.000000,618.650024,586.099976,589.250000,512.739929,2756152
2013-10-29,589.599976,607.000000,589.599976,604.650024,526.140259,1111250
2013-10-30,605.700012,614.799988,602.250000,613.650024,533.971802,776963
2013-10-31,610.150024,614.750000,604.099976,609.849976,535.464417,1568688
2013-11-01,605.250000,615.000000,605.250000,608.900024,534.630188,636680
2013-11-05,602.500000,607.000000,595.000000,595.950012,523.259766,754610
2013-11-06,592.000000,595.200012,586.099976,588.099976,516.367126,895583
2013-11-07,590.950012,599.000000,585.900024,589.950012,517.991577,703382
2013-11-08,591.950012,593.750000,583.000000,585.150024,513.777161,1157678
2013-11-11,587.200012,587.200012,572.700012,575.049988,504.909027,1231490
2013-11-12,576.000000,579.400024,573.000000,574.450012,504.382202,1193468
2013-11-13,576.950012,590.849976,572.349976,582.750000,511.669830,1279188
2013-11-14,586.000000,590.450012,578.599976,580.250000,509.474731,697871
2013-11-18,583.000000,599.000000,581.000000,596.650024,523.874390,1229930
2013-11-19,595.000000,597.000000,590.000000,592.250000,520.011047,416740
2013-11-20,591.000000,595.000000,580.099976,581.500000,510.572235,688203
2013-11-21,579.900024,583.500000,572.500000,574.200012,504.162720,1006746
2013-11-22,574.349976,580.000000,568.799988,571.599976,501.879852,696111
2013-11-25,576.900024,583.799988,571.000000,581.000000,510.133362,560878
2013-11-26,578.349976,595.000000,577.700012,588.700012,516.894104,1913588
2013-11-27,587.950012,590.000000,581.349976,583.750000,512.547913,1210047
2013-11-28,585.000000,592.500000,581.900024,589.750000,517.816162,1302121
2013-11-29,590.000000,598.049988,590.000000,594.750000,522.206177,749207
2013-12-02,597.849976,597.849976,580.599976,582.099976,511.099091,1222387
2013-12-03,582.000000,583.650024,577.650024,579.000000,508.377258,904361
2013-12-04,578.000000,578.900024,570.799988,572.000000,502.231049,1511053
2013-12-05,574.349976,576.900024,564.000000,565.349976,496.392151,1685322
2013-12-06,565.700012,571.400024,558.500000,559.650024,491.387421,1930183
2013-12-09,570.000000,570.450012,554.549988,559.750000,491.475098,2328730
2013-12-10,560.000000,569.000000,554.650024,563.200012,494.504486,4237317
2013-12-11,565.000000,569.750000,561.299988,565.450012,496.479889,1073885
2013-12-12,565.000000,568.099976,560.650024,562.750000,494.109192,807089
2013-12-13,560.950012,563.000000,558.000000,560.849976,492.441101,803775
2013-12-16,562.250000,564.000000,552.349976,557.200012,489.236237,1176141
2013-12-17,557.500000,559.799988,554.349976,556.849976,488.928955,1130610
2013-12-18,555.250000,561.000000,552.500000,558.049988,489.982483,1029818
2013-12-19,560.000000,562.900024,551.799988,554.950012,487.260742,870189
